mode,cycle,if_valid,if_pc,if_instr,id_valid,id_pc,id_instr,ex_valid,ex_pc,ex_instr,mem_valid,mem_pc,mem_instr,wb_valid,wb_pc,wb_instr,dmem_valid,dmem_ready
1,1133,1,000007c4,1ec0fffe,1,000007c0,26d6ffff,1,000007bc,24160003,0,000007b4,26b40000,1,000007b4,26b40000,0,0
1,1134,1,000007c8,26940001,1,000007c4,1ec0fffe,1,000007c0,26d6ffff,1,000007bc,24160003,0,000007b4,26b40000,0,1
1,1135,1,000007cc,ac0700fc,1,000007c8,26940001,1,000007c4,1ec0fffe,1,000007c0,26d6ffff,1,000007bc,24160003,0,1
1,1136,1,000007c0,26d6ffff,0,000007c8,26940001,1,000007c8,26940001,1,000007c4,1ec0fffe,1,000007c0,26d6ffff,0,0
1,1137,1,000007c4,1ec0fffe,1,000007c0,26d6ffff,0,000007c8,26940001,1,000007c8,26940001,1,000007c4,1ec0fffe,0,0
1,1138,1,000007c8,26940001,1,000007c4,1ec0fffe,1,000007c0,26d6ffff,0,000007c8,26940001,1,000007c8,26940001,0,0
1,1139,1,000007cc,ac0700fc,1,000007c8,26940001,1,000007c4,1ec0fffe,1,000007c0,26d6ffff,0,000007c8,26940001,0,0
1,1140,1,000007c0,26d6ffff,0,000007c8,26940001,1,000007c8,26940001,1,000007c4,1ec0fffe,1,000007c0,26d6ffff,0,0
1,1141,1,000007c4,1ec0fffe,1,000007c0,26d6ffff,0,000007c8,26940001,1,000007c8,26940001,1,000007c4,1ec0fffe,0,1
1,1142,1,000007c8,26940001,1,000007c4,1ec0fffe,1,000007c0,26d6ffff,0,000007c8,26940001,1,000007c8,26940001,0,1
1,1143,1,000007cc,ac0700fc,1,000007c8,26940001,1,000007c4,1ec0fffe,1,000007c0,26d6ffff,0,000007c8,26940001,0,0
1,1144,1,000007cc,ac0700fc,0,000007c8,26940001,1,000007c8,26940001,1,000007c4,1ec0fffe,1,000007c0,26d6ffff,0,0
1,1145,1,000007d0,00000000,1,000007cc,ac0700fc,0,000007c8,26940001,1,000007c8,26940001,1,000007c4,1ec0fffe,0,0
1,1146,1,000007d4,00000000,1,000007d0,00000000,1,000007cc,ac0700fc,0,000007c8,26940001,1,000007c8,26940001,0,0
1,1147,1,000007d8,00000000,1,000007d4,00000000,1,000007d0,00000000,1,000007cc,ac0700fc,0,000007c8,26940001,1,0
1,1148,1,000007d8,00000000,1,000007d4,00000000,1,000007d0,00000000,1,000007cc,ac0700fc,0,000007c8,26940001,1,1
1,1149,1,000007dc,00000000,1,000007d8,00000000,1,000007d4,00000000,1,000007d0,00000000,1,000007cc,ac0700fc,0,1
2,1153,1,00000000,24010007,0,00000000,00000000,0,00000000,00000000,0,00000000,00000000,0,00000000,00000000,0,0
2,1154,1,00000004,2422fffd,1,00000000,24010007,0,00000000,00000000,0,00000000,00000000,0,00000000,00000000,0,0
2,1155,1,00000008,00421821,1,00000004,2422fffd,1,00000000,24010007,0,00000000,00000000,0,00000000,00000000,0,0
2,1156,1,0000000c,ac030000,1,00000008,00421821,1,00000004,2422fffd,1,00000000,24010007,0,00000000,00000000,0,0
2,1157,1,00000010,8c040000,1,0000000c,ac030000,1,00000008,00421821,1,00000004,2422fffd,1,00000000,24010007,0,0
2,1158,1,00000014,00842821,1,00000010,8c040000,1,0000000c,ac030000,1,00000008,00421821,1,00000004,2422fffd,0,0
2,1159,1,00000018,ac050004,1,00000014,00842821,1,00000010,8c040000,1,0000000c,ac030000,1,00000008,00421821,1,0
2,1160,1,00000018,ac050004,1,00000014,00842821,1,00000010,8c040000,1,0000000c,ac030000,0,00000008,00421821,1,0
2,1161,1,00000018,ac050004,1,00000014,00842821,1,00000010,8c040000,1,0000000c,ac030000,0,00000008,00421821,1,0
2,1162,1,00000018,ac050004,1,00000014,00842821,1,00000010,8c040000,1,0000000c,ac030000,0,00000008,00421821,1,1
2,1163,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,1,00000010,8c040000,1,0000000c,ac030000,1,0
2,1164,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,1,00000010,8c040000,0,0000000c,ac030000,1,0
2,1165,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,1,00000010,8c040000,0,0000000c,ac030000,1,0
2,1166,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,1,00000010,8c040000,0,0000000c,ac030000,1,0
2,1167,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,1,00000010,8c040000,0,0000000c,ac030000,1,0
2,1168,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,1,00000010,8c040000,0,0000000c,ac030000,1,0
2,1169,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,1,00000010,8c040000,0,0000000c,ac030000,1,0
2,1170,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,1,00000010,8c040000,0,0000000c,ac030000,1,0
2,1171,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,1,00000010,8c040000,0,0000000c,ac030000,1,0
2,1172,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,1,00000010,8c040000,0,0000000c,ac030000,1,0
2,1173,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,1,00000010,8c040000,0,0000000c,ac030000,1,0
2,1174,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,1,00000010,8c040000,0,0000000c,ac030000,1,0
2,1175,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,1,00000010,8c040000,0,0000000c,ac030000,1,1
2,1176,1,0000001c,10a50002,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,1,00000010,8c040000,0,0
2,1177,1,00000020,24a60001,1,0000001c,10a50002,1,00000018,ac050004,1,00000014,00842821,0,00000010,8c040000,0,0
2,1178,1,00000024,ac010064,1,00000020,24a60001,1,0000001c,10a50002,1,00000018,ac050004,1,00000014,00842821,1,0
2,1179,1,00000024,ac010064,1,00000020,24a60001,1,0000001c,10a50002,1,00000018,ac050004,0,00000014,00842821,1,0
2,1180,1,00000024,ac010064,1,00000020,24a60001,1,0000001c,10a50002,1,00000018,ac050004,0,00000014,00842821,1,0
2,1181,1,00000024,ac010064,1,00000020,24a60001,1,0000001c,10a50002,1,00000018,ac050004,0,00000014,00842821,1,0
2,1182,1,00000024,ac010064,1,00000020,24a60001,1,0000001c,10a50002,1,00000018,ac050004,0,00000014,00842821,1,0
2,1183,1,00000024,ac010064,1,00000020,24a60001,1,0000001c,10a50002,1,00000018,ac050004,0,00000014,00842821,1,0
2,1184,1,00000024,ac010064,1,00000020,24a60001,1,0000001c,10a50002,1,00000018,ac050004,0,00000014,00842821,1,0
2,1185,1,00000024,ac010064,1,00000020,24a60001,1,0000001c,10a50002,1,00000018,ac050004,0,00000014,00842821,1,0
2,1186,1,00000024,ac010064,1,00000020,24a60001,1,0000001c,10a50002,1,00000018,ac050004,0,00000014,00842821,1,0
2,1187,1,00000024,ac010064,1,00000020,24a60001,1,0000001c,10a50002,1,00000018,ac050004,0,00000014,00842821,1,0
2,1188,1,00000024,ac010064,1,00000020,24a60001,1,0000001c,10a50002,1,00000018,ac050004,0,00000014,00842821,1,1
2,1189,1,00000028,14a60002,0,00000020,24a60001,1,00000020,24a60001,1,0000001c,10a50002,1,00000018,ac050004,0,0
2,1190,1,0000002c,24c70001,1,00000028,14a60002,0,00000020,24a60001,1,00000020,24a60001,1,0000001c,10a50002,0,0
2,1191,1,00000030,ac010064,1,0000002c,24c70001,1,00000028,14a60002,0,00000020,24a60001,1,00000020,24a60001,0,0
2,1192,1,00000034,ac0c0000,0,0000002c,24c70001,1,0000002c,24c70001,1,00000028,14a60002,0,00000020,24a60001,0,0
2,1193,1,00000038,8c040000,1,00000034,ac0c0000,0,0000002c,24c70001,1,0000002c,24c70001,1,00000028,14a60002,0,0
2,1194,1,0000003c,00843021,1,00000038,8c040000,1,00000034,ac0c0000,0,0000002c,24c70001,1,0000002c,24c70001,0,0
2,1195,1,00000040,35833e56,1,0000003c,00843021,1,00000038,8c040000,1,00000034,ac0c0000,0,0000002c,24c70001,1,0
2,1196,1,00000040,35833e56,1,0000003c,00843021,1,00000038,8c040000,1,00000034,ac0c0000,0,0000002c,24c70001,1,0
2,1197,1,00000040,35833e56,1,0000003c,00843021,1,00000038,8c040000,1,00000034,ac0c0000,0,0000002c,24c70001,1,0
2,1198,1,00000040,35833e56,1,0000003c,00843021,1,00000038,8c040000,1,00000034,ac0c0000,0,0000002c,24c70001,1,0
2,1199,1,00000040,35833e56,1,0000003c,00843021,1,00000038,8c040000,1,00000034,ac0c0000,0,0000002c,24c70001,1,0
2,1200,1,00000040,35833e56,1,0000003c,00843021,1,00000038,8c040000,1,00000034,ac0c0000,0,0000002c,24c70001,1,0
2,1201,1,00000040,35833e56,1,0000003c,00843021,1,00000038,8c040000,1,00000034,ac0c0000,0,0000002c,24c70001,1,1
2,1202,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,1,00000038,8c040000,1,00000034,ac0c0000,1,0
2,1203,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,1,00000038,8c040000,0,00000034,ac0c0000,1,0
2,1204,1,00000040,35833e56,1,0000003c,00843021,0,00000038,8c040000,1,00000038,8c040000,0,00000034,ac0c0000,1,0
